district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
中和區,房地(土地+建物)+車位,新北市中和區中安街２００號四樓,15.35,住,,,1110211,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900326,158.13,3,2,1,有,有,25000000,158098,坡道機械,27.16,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLNJLHHGFHF28EA,92.42,0,10.33,有
永和區,房地(土地+建物),新北市永和區竹林路２０１巷１號二樓,29.5,住,,,1110223,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ構架,600825,91.44,3,2,1,有,無,13000000,142170,,0,0,,RPTOMLNJLHHGFHF48EA,76.64,0,14.8,無
中和區,土地,華新段347-1地號,207.05,都市：其他:道路用地,,,1110214,土地8建物0車位0,,,其他,,,,0,0,0,0,有,無,15000000,72446,,0,0,包含公共設施保留地用地；,RPSPMLNJLHHGFHF48EA,0,0,0,無
永和區,土地,信義段570地號,2.82,都市：其他:道路用地,,,1110218,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,500000,177305,,0,0,包含公共設施保留地用地；,RPUPMLNJLHHGFHF68EA,0,0,0,無
永和區,房地(土地+建物),新北市永和區民族街７３巷１號,21.91,住,,,1110215,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,630108,40.52,3,3,4,有,無,6000000,148075,,0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；未登記建物；未登記建物；,RPORMLOJLHHGFHF38EA,40.52,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路五段２０７號十七樓,14.31,住,,,1110216,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100901,112.18,2,2,1,有,有,15680000,151529,坡道平面,23.22,2200000,,RPRSMLMJLHHGFAF77DA,52.35,4.53,2.74,有
板橋區,房地(土地+建物),新北市板橋區長安街７巷２之４號一樓,29.17,住,,,1110207,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730827,91.8,3,2,2,有,無,17000000,185185,,0,0,陽台外推；,RPTSMLQKKHHGFAF38DA,79.71,12.09,0,無
五股區,房地(土地+建物)+車位,新北市五股區御史路８０之９號五樓,26.58,住,,,1110207,土地2建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061020,112.66,3,1,1,有,有,9500000,84325,坡道機械,20.43,0,,RPXNMLSKKHHGFBF58DA,54.11,3.35,4.45,有
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段６３之２號五樓,13.03,住,,,1110212,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011121,104.99,1,1,1,有,有,7500000,71435,坡道平面,36.08,0,,RPVUMLPLKHHGFEF56DA,40.25,0,5.26,有
淡水區,房地(土地+建物),新北市淡水區民族路６５巷５４號七樓,17.71,住,,,1110203,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960124,80.03,2,2,1,有,有,10100000,126203,,0,0,,RPQRMLMJLHHGFEF97DA,48.16,0.77,7.04,有
汐止區,土地,石硿子段石硿子小段279地號,383.96,,山坡地保育區,林業用地,1110223,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2320000,6042,,0,0,,RPTOMLNJLHHGFDF97DA,0,0,0,無
